Video;Arena;Individual;Prop_time_lost;Smoothing_filter_window;Smoothing_Polyorder;Moving_threshold;Prop_time_moving;Average_Speed;Average_Speed_Moving;Traveled_Dist;Meander;Traveled_Dist_Moving;Meander_moving;Exploration_absolute_value;Exploration_relative_value;Exploration_method;Exploration_area;Exploration_aspect_param;Mean_nb_neighbours;Prop_time_with_at_least_one_neighbour;Mean_shortest_dist_neighbour;Mean_sum_distances_to_neighbours;File;Nom
Act_LU2_R3_080623.avi;0;Ind0;0;0;0;0;1;0.227665428;0.227665428;68.29962836;34498.13601;68.29962836;34498.13601;33.3506566;0.532532885;Modern;2.81;NA;NA;NA;NA;NA;Act_LU2_R3_080623.avi;WP
Act_LU2_R3_080623.avi;1;Ind0;0;0;0;0;0.998666667;0.66453799;0.665425223;199.3613969;37178.93368;199.3613969;37226.58233;46.6359658;0.752353802;Modern;2.81;NA;NA;NA;NA;NA;Act_LU2_R3_080623.avi;WP
Act_LU2_R3_080623.avi;2;Ind0;0;0;0;0;0.9856;0.667668422;0.677423317;200.3005265;44698.30596;200.3005265;44938.79118;63.76434538;0.948889218;Modern;2.81;NA;NA;NA;NA;NA;Act_LU2_R3_080623.avi;WP
Act_LU2_R3_080623.avi;3;Ind0;0;0;0;0;0.994933333;0.663339475;0.66671751;199.0018424;27947.70867;199.0018424;27990.43088;60.6039981;0.938718821;Modern;2.81;NA;NA;NA;NA;NA;Act_LU2_R3_080623.avi;WP
Act_LU2_R3_080623.avi;4;Ind0;0;0;0;0;0.9996;0.477862892;0.478054113;143.3588675;29514.13466;143.3588675;29517.78226;60.6936645;0.969137508;Modern;2.81;NA;NA;NA;NA;NA;Act_LU2_R3_080623.avi;WP
Act_LU2_R3_080623.avi;5;Ind0;0;0;0;0;0.995733333;0.58230918;0.584804345;174.692754;53091.4654;174.692754;53251.08375;50.85867637;0.75683753;Modern;2.81;NA;NA;NA;NA;NA;Act_LU2_R3_080623.avi;WP
